event_id,hand,true,pred,prob,dominant_share,peak_g,nn_distance,band
226,R,Hi-Hat,Hi-Hat,0.7884426131370282,0.975322,5.522008,1.422424730404645,IN-LIKE
227,R,Hi-Hat,Crash,0.79254402914841,0.95395,6.514947,1.5908944814183217,IN-LIKE
228,R,Hi-Hat,Crash,0.962622242298569,0.940885,5.508661,1.4093335710941859,IN-LIKE
231,R,Hi-Hat,Crash,0.7569708144214986,0.929036,4.801123,1.3270809361670963,IN-LIKE
234,L,小鼓,小鼓,0.5827043347841825,0.918674,5.574151,1.612965278434734,IN-LIKE
237,L,高音 Tom,Hi-Hat,0.8475730797683878,0.910897,4.096265,2.5196569372985693,BORDERLINE
239,R,小鼓,Hi-Hat,0.9083353966504374,0.930561,5.243067,1.8571560072556201,IN-LIKE
242,R,中音 Tom,中音 Tom,0.9909067321705007,0.91265,9.074362,2.155944695234178,IN-LIKE
250,L,小鼓,小鼓,0.6727913967935978,0.907289,6.889427,2.135878896485548,IN-LIKE
254,R,Crash,小鼓,0.999971532446068,0.95727,7.413497,3.42744779511103,OOD
255,R,Hi-Hat,Crash,0.9830871747423741,0.905189,4.240821,1.585944192238347,IN-LIKE
264,R,Hi-Hat,Crash,0.5758087360116929,0.949622,5.10694,1.931084771063614,IN-LIKE
301,L,Crash,中音 Tom,0.9995308121085336,0.941158,8.557438,1.9921734856110824,IN-LIKE
308,R,Hi-Hat,Hi-Hat,0.8783884493187204,0.936624,7.012095,1.6069944080532248,IN-LIKE
309,L,小鼓,小鼓,0.9256673946189027,0.901113,4.922646,1.9869106949336828,IN-LIKE
326,R,Hi-Hat,Crash,0.7786074028375634,0.955764,7.175938,2.208982659318557,IN-LIKE
355,R,Hi-Hat,Hi-Hat,0.9915249357311378,0.934673,5.328947,1.3432495556390063,IN-LIKE
356,R,Hi-Hat,Hi-Hat,0.9911207412333077,0.905354,5.758303,1.211795222841918,IN-LIKE
358,R,Hi-Hat,Hi-Hat,0.9305128597758717,0.901709,5.220354,1.2275567868552069,IN-LIKE
368,R,Hi-Hat,Crash,0.5116722226505226,0.912606,5.418298,1.5819833338182785,IN-LIKE
371,R,Hi-Hat,Crash,0.7032415826920542,0.947579,5.615137,1.195124903418119,IN-LIKE
375,L,小鼓,Hi-Hat,0.49775991147279747,0.911214,4.608735,2.25831575744631,IN-LIKE
376,R,Hi-Hat,Hi-Hat,0.9653194530626587,0.965198,7.158252,1.3924529090359887,IN-LIKE
381,L,小鼓,小鼓,0.7585836363018876,0.925752,4.22927,2.3207053999853953,IN-LIKE
382,R,Crash,Hi-Hat,0.5268892884061038,0.956636,6.021308,2.5960170156885862,BORDERLINE
385,R,Hi-Hat,Hi-Hat,0.5719752964868403,0.909867,5.123993,1.9098621329715764,IN-LIKE
392,R,Hi-Hat,Hi-Hat,0.9504683272190714,0.955071,6.286367,1.8515415540652067,IN-LIKE
412,L,小鼓,小鼓,0.9989025274920192,0.965904,7.572543,2.8997078200150255,BORDERLINE
441,R,Ride,Ride,0.9475181602219532,0.912779,1.50853,3.539205526144763,OOD
447,R,Ride,Ride,0.9988213418943,0.919742,1.487074,3.5152429622233847,OOD
522,R,Ride,Ride,0.9999996873942163,0.926697,1.674688,2.295380047109317,IN-LIKE
759,R,Ride,Ride,0.9999992034084284,0.915009,1.331323,2.4386469867810625,BORDERLINE
777,R,Ride,Ride,0.9999991684031143,0.913404,1.200253,3.05633271024784,BORDERLINE
795,L,小鼓,中音 Tom,0.9464838892235596,0.950442,3.739766,2.230510139634656,IN-LIKE
898,R,Ride,中音 Tom,0.994346189068234,0.989429,5.172769,3.390176304265912,BORDERLINE
904,R,Ride,Ride,0.9958235190410459,0.951534,4.591522,2.178413177943143,IN-LIKE
916,L,小鼓,中音 Tom,0.8202815917515053,0.908604,4.36481,2.291013500830006,IN-LIKE
917,R,Ride,Ride,0.9997455446057217,0.944675,4.886914,2.008530224681592,IN-LIKE
918,R,Ride,Ride,0.9998903891401236,0.938166,3.751846,1.7159765910134828,IN-LIKE
921,R,Ride,Ride,0.9999103498545608,0.966246,4.016716,1.7488669061139097,IN-LIKE
924,L,小鼓,小鼓,0.9646647457861275,0.92996,6.668168,2.3659102084819588,BORDERLINE
932,R,Ride,Ride,0.9999617220546585,0.958626,3.832653,1.8956987742207954,IN-LIKE
936,L,小鼓,中音 Tom,0.9941570206848358,0.9217,6.164192,2.328631185216553,IN-LIKE
937,R,Ride,Ride,0.9971472598344945,0.912477,4.298295,2.2244686861175986,IN-LIKE
941,R,Ride,Ride,0.9977585676336962,0.91169,4.147622,2.1051119256971242,IN-LIKE
945,R,Ride,Ride,0.9999898984935998,0.967711,5.192586,1.3724229852022314,IN-LIKE
949,R,Ride,Ride,0.9999581553147537,0.920548,4.069044,1.5777115584261572,IN-LIKE
963,R,Ride,Ride,0.9998956776231388,0.92682,3.856046,1.6058981771619756,IN-LIKE
981,R,落地 Tom,Ride,0.9743437104004481,0.961678,5.512745,1.4652612461403776,IN-LIKE
982,R,落地 Tom,Ride,0.9148141195809778,0.923594,5.114896,2.227860061433058,IN-LIKE
983,L,小鼓,小鼓,0.9961380869760933,0.910867,7.25718,2.8684360939717424,BORDERLINE
989,R,落地 Tom,Ride,0.811138557785216,0.962388,5.81452,1.9337665933972106,IN-LIKE
990,R,落地 Tom,Ride,0.8833007718497742,0.960172,6.406075,1.4368368601502186,IN-LIKE
991,L,小鼓,小鼓,0.8067717871010786,0.94888,9.43425,2.5473154321644094,BORDERLINE
997,R,落地 Tom,Ride,0.9217395426160097,0.905241,4.972299,1.953329314175243,IN-LIKE
998,R,落地 Tom,Ride,0.6515944399121791,0.96967,4.898765,2.0133789520522987,IN-LIKE
999,L,小鼓,小鼓,0.8859194308962048,0.935662,7.76579,2.548015595205547,BORDERLINE
1005,R,落地 Tom,落地 Tom,0.9992161317285002,0.985931,9.337298,2.5100811525545144,BORDERLINE
1006,L,小鼓,小鼓,0.9948888358035727,0.938192,9.227601,2.81895291246052,BORDERLINE
1012,R,落地 Tom,Ride,0.9929472551908648,0.962545,4.140504,1.9136066472282218,IN-LIKE
1013,L,小鼓,中音 Tom,0.8731695162025065,0.931157,9.102359,1.864605606686011,IN-LIKE
1019,R,落地 Tom,落地 Tom,0.9984553283583977,0.974731,5.679517,1.9072918531249914,IN-LIKE
1020,L,小鼓,小鼓,0.9997904373430178,0.915657,7.531602,2.8026983956065115,BORDERLINE
1026,R,落地 Tom,落地 Tom,0.5173671295828954,0.979697,6.298779,2.270439724407284,IN-LIKE
1027,L,小鼓,小鼓,0.47525272104720173,0.917903,8.599433,3.0290748455089407,BORDERLINE
1033,R,落地 Tom,Ride,0.5618739441690432,0.985761,7.441666,1.929940183967104,IN-LIKE
1034,L,小鼓,小鼓,0.6250273573275572,0.912394,8.476523,1.940657990242142,IN-LIKE
1040,L,Crash,落地 Tom,0.6251205279721113,0.953827,10.272878,2.37297648338539,BORDERLINE
1041,R,落地 Tom,Ride,0.9988078823213036,0.943379,4.672014,1.5042979695237957,IN-LIKE
1042,L,小鼓,小鼓,0.9690628672508674,0.902226,7.431024,2.8758224234510372,BORDERLINE
1049,R,落地 Tom,Ride,0.9918362335001895,0.963212,5.924261,1.6051802429601267,IN-LIKE
1050,R,落地 Tom,Ride,0.8238496731171926,0.961831,7.010994,1.6050471022393547,IN-LIKE
1051,R,落地 Tom,Ride,0.988014964487607,0.929601,4.911619,1.6086150210687908,IN-LIKE
1060,R,落地 Tom,Ride,0.7756344006390661,0.954551,6.35511,2.406279365471838,BORDERLINE
1061,R,落地 Tom,Ride,0.7969798843343745,0.926916,5.434629,1.906333310659409,IN-LIKE
1069,R,落地 Tom,Ride,0.8712753254648481,0.928195,4.287454,2.7072362086137125,BORDERLINE
1070,R,落地 Tom,Ride,0.5517432938690581,0.962208,6.63764,1.6653996190667708,IN-LIKE
1071,L,小鼓,小鼓,0.9309206051356417,0.907772,7.127789,3.048216766340719,BORDERLINE
1079,R,落地 Tom,Ride,0.9947235029972527,0.974962,6.475347,1.219430051297191,IN-LIKE
1080,L,小鼓,小鼓,0.9990231509781864,0.928437,7.204296,2.577488607102816,BORDERLINE
1087,R,落地 Tom,落地 Tom,0.6733276901195668,0.946626,5.692294,2.067473310533482,IN-LIKE
1088,R,落地 Tom,Ride,0.9999771284677254,0.948104,4.962706,1.4860253288232526,IN-LIKE
1089,R,落地 Tom,Ride,0.9994201366020259,0.901312,4.866484,1.444303580073698,IN-LIKE
1090,L,小鼓,小鼓,0.9984352932384136,0.937388,7.540069,2.875014618191658,BORDERLINE
1102,R,落地 Tom,Ride,0.8077172293474372,0.970511,6.557506,1.7221238172977609,IN-LIKE
1248,R,Ride,落地 Tom,0.8003230683535815,0.985243,9.128699,3.36130874779348,BORDERLINE
1253,R,Ride,中音 Tom,0.7377301357039638,0.904905,4.771066,3.103061740586871,BORDERLINE
1256,R,Ride,Ride,0.5973826110477899,0.914427,4.144455,3.323686652582204,BORDERLINE
1455,R,落地 Tom,Ride,0.9905846863627437,0.946286,6.580837,2.587045081295442,BORDERLINE
1509,R,小鼓,小鼓,0.9980248967602147,0.909183,7.792125,2.020477406794525,IN-LIKE
1515,L,Crash,中音 Tom,0.8074872906501996,0.918839,4.837104,2.5200704419602467,BORDERLINE
1516,R,Ride,Ride,0.9999039711059186,0.965276,3.585457,1.6642295694554872,IN-LIKE
1517,L,小鼓,Crash,0.5772039217825893,0.980092,6.181682,2.275755031765367,IN-LIKE
1518,R,Ride,Ride,0.9949844200540603,0.900482,5.005133,2.0645347730184103,IN-LIKE
1519,L,小鼓,小鼓,0.9886652979520116,0.982283,4.287697,2.239736750944672,IN-LIKE
1521,R,Ride,Ride,0.9998748865234693,0.943039,2.989245,1.2178163823138957,IN-LIKE
1525,R,Ride,Ride,0.9989938157307309,0.912475,3.482339,1.2789691738509346,IN-LIKE
1545,R,Ride,Ride,0.9999733160679259,0.900908,2.269428,1.6680911775438494,IN-LIKE
1552,L,小鼓,小鼓,0.7659724082966932,0.934093,6.015677,1.9074456512962172,IN-LIKE
1569,L,小鼓,中音 Tom,0.9995438423923296,0.953933,6.422033,2.0536015244644474,IN-LIKE
1592,L,小鼓,中音 Tom,0.9988995868459241,0.913089,5.079912,2.585765551448402,BORDERLINE
1610,R,Ride,Ride,0.9998537635581449,0.922468,2.915963,1.889588750085887,IN-LIKE
1611,L,小鼓,小鼓,0.9917413694975632,0.90511,4.693776,3.0472981259017744,BORDERLINE
1669,R,落地 Tom,Ride,0.9601814508074016,0.95413,5.804771,2.0563089522775204,IN-LIKE
1696,R,Hi-Hat,Crash,0.999960419020563,0.92758,3.200676,0.8661661721347452,IN-LIKE
1698,R,Hi-Hat,Crash,0.9998742268083404,0.930594,4.072717,0.6461428253486725,IN-LIKE
1700,R,Hi-Hat,Crash,0.9977724914072514,0.93365,3.595705,0.9470974801765428,IN-LIKE
1701,R,Hi-Hat,Hi-Hat,0.9935494439146184,0.943267,1.724597,1.2899858570801446,IN-LIKE
1702,R,Hi-Hat,Crash,0.991862866892303,0.933357,3.89501,1.217775206897866,IN-LIKE
1703,R,Hi-Hat,Crash,0.7310311094179802,0.920091,1.700014,1.041012400105579,IN-LIKE
1704,R,Hi-Hat,Crash,0.9090500380061289,0.933203,3.368033,1.7074867220928527,IN-LIKE
1708,R,Hi-Hat,Hi-Hat,0.8097226148372706,0.955274,5.588901,1.8465412737475302,IN-LIKE
1709,R,Hi-Hat,Hi-Hat,0.8116060727083476,0.970465,6.265817,1.4472769750427126,IN-LIKE
1711,R,Hi-Hat,Crash,0.9999698173795571,0.948136,2.999457,0.8683498645160533,IN-LIKE
1716,R,Hi-Hat,Crash,0.9900394370375246,0.928197,3.605457,1.5524846465678261,IN-LIKE
1717,R,Hi-Hat,Hi-Hat,0.998199058048272,0.959254,4.486879,2.5599196884685367,BORDERLINE
1718,R,Hi-Hat,Hi-Hat,0.8805490990777819,0.953654,4.610461,1.9911800608937116,IN-LIKE
1719,R,Hi-Hat,Hi-Hat,0.6542312120967889,0.915896,5.580128,2.3770808245133153,BORDERLINE
1722,R,Hi-Hat,Hi-Hat,0.9743989860405521,0.93673,6.20832,2.410818535024707,BORDERLINE
1723,R,Hi-Hat,Hi-Hat,0.9708693391408372,0.930776,5.605194,2.348270754858394,BORDERLINE
1724,R,Hi-Hat,Hi-Hat,0.9831013426511638,0.941837,6.916124,3.152622636881461,BORDERLINE
1729,R,Hi-Hat,Hi-Hat,0.9643701204223832,0.952118,5.026666,2.2976438829608856,IN-LIKE
1732,R,Hi-Hat,Crash,0.6125058603044927,0.96123,4.566415,1.7321243711570475,IN-LIKE
1733,R,Hi-Hat,Hi-Hat,0.558969146799325,0.949135,5.16611,1.8894864770494553,IN-LIKE
1737,R,Hi-Hat,Crash,0.9999723029700464,0.905859,2.972092,0.8611456836101629,IN-LIKE
1739,R,Hi-Hat,Crash,0.9987175702737348,0.954918,4.59339,0.7442975539729489,IN-LIKE
1740,R,Hi-Hat,Crash,0.5913175279970108,0.93197,4.237641,1.6437144528677106,IN-LIKE
1744,R,Hi-Hat,Crash,0.9996232975623631,0.909654,3.661346,0.9682674195573531,IN-LIKE
1745,R,Hi-Hat,Crash,0.9998296169920032,0.923137,3.842285,1.063592029069589,IN-LIKE
1746,R,Hi-Hat,Crash,0.9968166197819047,0.94663,4.413423,1.3340493492558867,IN-LIKE
1747,R,Hi-Hat,Crash,0.9909978182430236,0.948031,5.587301,1.0685008795391362,IN-LIKE
1751,R,Hi-Hat,Crash,0.8978575060256259,0.919668,4.861653,1.6021429497249455,IN-LIKE
1755,R,Hi-Hat,Crash,0.7057451516794968,0.930529,3.944763,1.5786743307486408,IN-LIKE
1760,R,Hi-Hat,Crash,0.6730822735992729,0.908454,4.585243,1.9049491135599903,IN-LIKE
1766,R,Hi-Hat,Crash,0.9995817597585511,0.915032,4.33867,0.9165660151170633,IN-LIKE
1770,R,Hi-Hat,Crash,0.5894529083424677,0.966333,3.500225,1.6952109034279486,IN-LIKE
1771,R,Hi-Hat,Crash,0.8928720846543661,0.9061,5.011992,1.2583711537121756,IN-LIKE
1774,R,Hi-Hat,Hi-Hat,0.8314332759968552,0.958459,4.333227,1.1465527428840918,IN-LIKE
1775,R,Hi-Hat,Crash,0.999119147961646,0.956514,3.47128,0.5316161521757629,IN-LIKE
1777,R,Hi-Hat,Crash,0.999677399454556,0.95284,3.681222,0.6730944688170688,IN-LIKE
1784,R,Hi-Hat,Crash,0.7522375199702954,0.912631,3.103993,0.9798460017531837,IN-LIKE
1785,R,Hi-Hat,Hi-Hat,0.8399563714406568,0.902728,3.890769,1.3139901535919565,IN-LIKE
1788,R,Hi-Hat,Hi-Hat,0.8385108734784188,0.960511,4.865703,0.9941736092431773,IN-LIKE
1791,R,Hi-Hat,Hi-Hat,0.8725705147097882,0.915222,5.493945,1.2390213029902568,IN-LIKE
1802,R,Hi-Hat,Hi-Hat,0.8591866234009239,0.908077,4.39368,1.4664740455896428,IN-LIKE
1812,R,小鼓,小鼓,0.6703267804123119,0.936822,8.153555,2.7029291234872708,BORDERLINE
1813,L,小鼓,中音 Tom,0.9829331244420977,0.931018,6.095784,2.005303781858457,IN-LIKE
